Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0350017D;Collège du Querpon;COLLEGE;DU QUERPON;Public;Route DE CAMPEL;Maure-de-Bretagne;;35330;VAL D ANAST;Val d'Anast;327366.8;6766352.2;EPSG:2154;47.89156984600312;-1.9895683290916766;Correcte;Rue;340;COLLEGE;1;OUVERT;035;53;14;35168;Ille-et-Vilaine;Bretagne;Rennes;47.89156984600312, -1.9895683290916766;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350707D;Collège François René de Chateaubriand;COLLEGE;FRANCOIS RENE DE CHATEAUBRIAND;Public;12 avenue DES ACACIAS;;56;35270;COMBOURG;Combourg;349354.0;6823304.9;EPSG:2154;48.41525130917533;-1.7416202300524102;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35085;Ille-et-Vilaine;Bretagne;Rennes;48.41525130917533, -1.7416202300524102;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-11-08
0350759K;Collège Echange;COLLEGE;ECHANGE;Public;30 rue DE DINAN;;90223;35102;RENNES CEDEX 3;Rennes;351679.8;6789833.8;EPSG:2154;48.115879734200085;-1.6834300763512902;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.115879734200085, -1.6834300763512902;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-04-01
0350849H;Collège privé La Salle Saint Joseph;COLLEGE PRIVE;LA SALLE ST JOSEPH;Privé;54 rue ALAIN D'ARGENTRE;;;35370;ARGENTRE DU PLESSIS;Argentré-du-Plessis;391254.8;6781064.1;EPSG:2154;48.056987957233;-1.1461697991988964;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35006;Ille-et-Vilaine;Bretagne;Rennes;48.056987957233, -1.1461697991988964;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350852L;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;3 avenue ALPHONSE LEGAULT;;;35171;BRUZ CEDEX;Bruz;346453.4;6780051.7;EPSG:2154;48.02520405429156;-1.745639588615377;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35047;Ille-et-Vilaine;Bretagne;Rennes;48.02520405429156, -1.745639588615377;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1976-09-10
0350855P;Collège privé Sainte Croix;COLLEGE PRIVE;STE CROIX;Privé;3  RUE DU PRIEURE;;26;35410;CHATEAUGIRON;Châteaugiron;364863.9;6781274.7;EPSG:2154;48.04588466664549;-1.500000075305421;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35069;Ille-et-Vilaine;Bretagne;Rennes;48.04588466664549, -1.500000075305421;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350857S;Collège privé Saint Gilduin;COLLEGE PRIVE;ST GILDUIN;Privé;1 SQUARE EMILE BOHUON;;37;35270;COMBOURG;Combourg;348268.6;6822945.7;EPSG:2154;48.41143869982861;-1.7559699577360324;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35085;Ille-et-Vilaine;Bretagne;Rennes;48.41143869982861, -1.7559699577360324;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350867C;Collège privé Saint Michel;COLLEGE PRIVE;ST MICHEL;Privé;15 rue des Ecoles;;;35340;LIFFRE;Liffré;365334.4;6799771.8;EPSG:2154;48.21229867442835;-1.5078597967670593;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35152;Ille-et-Vilaine;Bretagne;Rennes;48.21229867442835, -1.5078597967670593;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350869E;Collège privé Sainte Marie;COLLEGE PRIVE;STE MARIE;Privé;44 rue DE GUER;;31;35330;VAL D ANAST;Val d'Anast;327109.0;6766622.2;EPSG:2154;47.89384834919044;-1.9932393980803262;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35168;Ille-et-Vilaine;Bretagne;Rennes;47.89384834919044, -1.9932393980803262;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350882U;Collège privé Sainte Anne;COLLEGE PRIVE;STE ANNE;Privé;1 rue de la Bouëxière;;;35140;ST AUBIN DU CORMIER;Saint-Aubin-du-Cormier;373770.0;6804212.0;EPSG:2154;48.25646468084622;-1.3977996740691996;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35253;Ille-et-Vilaine;Bretagne;Rennes;48.25646468084622, -1.3977996740691996;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350913C;Collège Clotilde Vautier;COLLEGE;CLOTILDE VAUTIER;Public;8 bis rue DE LA MOTTE BRULON;;80439;35704;RENNES CEDEX 7;Rennes;352899.4;6790916.7;EPSG:2154;48.126256483139166;-1.6679296130380918;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.126256483139166, -1.6679296130380918;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-03-18
0350967L;Collège Mahatma Gandhi;COLLEGE;MAHATMA GANDHI;Public;17 rue DE ST LO;;;35300;FOUGERES;Fougères;390533.9;6815665.8;EPSG:2154;48.367553590717336;-1.1804104642000366;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35115;Ille-et-Vilaine;Bretagne;Rennes;48.367553590717336, -1.1804104642000366;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-03-12
