Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0350122T;Ecole primaire publique les Lucioles;Ecole;Public;6 rue PHILIPPE;;35580 BAULON;35580;35016;Baulon;035;14;53;1;1;;;;0299853802;;;ecole.0350122T@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350016800025;143;;47.98614492070133, -1.9294895003671315;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;332503.4;6776558.9;EPSG:2154;Circonscription d'inspection du 1er degré de Bruz;47.98614492070133;-1.9294895003671315;Rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351881E;;;;
0350165P;Ecole élémentaire publique de Cardroc;Ecole;Public;7 rue des Ecoles;;35190 CARDROC;35190;35050;Cardroc;035;14;53;0;1;;;;0299458802;;;ecole.0350165P@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350050700024;63;;48.28574732696515, -1.8899405149657837;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;337508.6;6809607.2;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.28574732696515;-1.8899405149657837;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035009;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350057X;;;;
0350192U;Ecole élémentaire publique de Chavagne;Ecole;Public;11 rue DE LA CROIX VERTE;;35310 CHAVAGNE;35310;35076;Chavagne;035;14;53;0;1;;;;0299642149;;;ecole.0350192U@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350076200025;186;;48.05441609195637, -1.7909603453941552;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;343278.0;6783495.8;EPSG:2154;Circonscription d'inspection du 1er degré de Pacé;48.05441609195637;-1.7909603453941552;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352030S;;;;
0350196Y;Ecole primaire publique Arc-en-Ciel;Ecole;Public;3 rue de Rennes;;35310 CINTRE;35310;35080;Cintré;035;14;53;1;1;;;;0299641649;;;ecole.0350196Y@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350080400025;230;;48.10488775965549, -1.8686798653508134;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;337844.1;6789447.9;EPSG:2154;Circonscription d'inspection du 1er degré de Pacé;48.10488775965549;-1.8686798653508134;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352030S;;;;
0350210N;Ecole primaire publique Henri Matisse;Ecole;Public;24 rue Jules Ferry;;35320 LA COUYERE;35320;35089;La Couyère;035;14;53;1;1;;;;0299431452;;;ecole.0350210N@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350089500023;38;;47.89016335437333, -1.505130689063588;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;363495.5;6764020.9;EPSG:2154;Circonscription d'inspection du 1er degré de Bain-de-Bretagne;47.89016335437333;-1.505130689063588;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035008;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351882F;;;;
0350255M;Ecole maternelle publique la Madeleine;Ecole;Public;2 boulevard Edmond Roussin;;35300 FOUGERES;35300;35115;Fougères;035;14;53;1;0;;;;0299991556;;;ecole.0350255M@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350115800165;66;;48.34642532689295, -1.2020604238502615;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;388807.8;6813405.8;EPSG:2154;Circonscription d'inspection du 1er degré de Fougères;48.34642532689295;-1.2020604238502615;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350967L;;;;
0350256N;Ecole primaire publique Odile Gautry;Ecole;Public;4 place Lariboisière;;35300 FOUGERES;35300;35115;Fougères;035;14;53;1;1;;;;0299942458;;;ecole.0350256N@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350115800199;155;;48.352796780260554, -1.2030305566047914;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;388773.7;6814116.8;EPSG:2154;Circonscription d'inspection du 1er degré de Fougères;48.352796780260554;-1.2030305566047914;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350967L;;;;
0350262V;Ecole primaire publique Ecole de la Fontaine;Ecole;Public;21 rue Jean Morin;;35490 GAHARD;35490;35118;Gahard;035;14;53;1;1;;;;0299396072;;;ecole.0350262V@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350118200025;153;;48.299274929461426, -1.522300594499507;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;364816.8;6809483.9;EPSG:2154;Circonscription d'inspection du 1er degré de Combourg;48.299274929461426;-1.522300594499507;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351849V;;;;
0350266Z;Ecole élémentaire publique Léonard de Vinci;Ecole;Public;26 rue de la Gare;;35850 GEVEZE;35850;35120;Gévezé;035;14;53;0;1;;;;0299699901;;;ecole.0350266Z@ac-rennes.fr;1;0;1;;;;;;;;;;;;;;;21350120800036;271;;48.219070403806626, -1.7914695911940086;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;344349.8;6801762.8;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.219070403806626;-1.7914695911940086;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352760K;;;;
0350270D;Ecole élémentaire publique La Marelle;Ecole;Public;8 rue de Lampatre;;35580 GOVEN;35580;35123;Goven;035;14;53;0;1;;;;0299420654;;;ecole.0350270D@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350123200044;174;;48.00491180633803, -1.8488403744010815;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;338636.2;6778268.1;EPSG:2154;Circonscription d'inspection du 1er degré de Pacé;48.00491180633803;-1.8488403744010815;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352958A;;;;
