code_region;libelle_region;code_academie;libelle_academie;code_departement;libelle_departement;code_postal;code_insee;libelle_commune;lieu_dit;Type_et_Libelle;No_de_voie_debut;Indice_de_repetition_debut;No_de_voie_fin;Indice_de_repetition_fin;Parite;Code_RNE;Secteur_unique
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35001;Acigné;;;;;;;;0352167R;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35004;Val-Couesnon;;;;;;;;0350052S;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35005;Arbrissel;;;;;;;;0351799R;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35012;Bain-de-Bretagne;;;;;;;;0350970P;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35013;Bains-sur-Oust;;;;;;;;0350969N;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35017;La Baussaine;;;;;;;;0350051R;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35029;Bonnemain;;;;;;;;0350707D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35031;La Bouëxière;;;;;;;;0351790F;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35032;Bourgbarré;;;;;;;;0352691K;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35039;Brécé;;;;;;;;0352167R;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35040;Breteil;;;;;;;;0351791G;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35055;Chantepie;;;;;;;;0350963G;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35060;La Chapelle du Lou du Lac;;;;;;;;0352247C;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35063;La Chapelle-Saint-Aubert;;;;;;;;0350039C;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35066;Chartres-de-Bretagne;;;;;;;;0351852Y;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35075;Chauvigné;;;;;;;;0350052S;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35078;Cherrueix;;;;;;;;0350708E;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35085;Combourg;;;;;;;;0350707D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35087;Cornillé;;;;;;;;0352008T;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35090;Crevin;;;;;;;;0352860U;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35091;Le Crouais;;;;;;;;0351850W;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35093;Dinard;;;;;;;;0351795L;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35094;Dingé;;;;;;;;0350707D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35096;Domagné;;;;;;;;0352448W;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35105;Erbrée;;;;;;;;0352008T;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35110;Feins;;;;;;;;0351849V;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35114;Forges-la-Forêt;;;;;;;;0351882F;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE CHARLES VIII;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE D AVILLON;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE DE CLISSON;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE DE LA PIERRE BLANCHE;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE DE LA TENDRAIS;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE DES OEILLETS;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE DU BUTTON;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ALLEE DU CHAMP D ARGENT;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;AVENUE DES POETES;2;;9999;;P;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;BOULEVARD DE GROSLAY;1;;15;;I;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;BOULEVARD DU MARECHAL LECLERC;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;BOULEVARD MICHEL COINTAT;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;CHEMIN BERTIN;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;CHEMIN DE LA GUENAUDIERE;1;;9999;;I;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;CHEMIN DE LA VIGNE;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;CHEMIN DE MONTAUBERT;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;CHEMIN DES DEMOISELLES;2;;9999;;P;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;CHEMIN DES DRUIDES;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;CHEMIN DU PETIT BOIS;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ESPLANADE DES CHAUSSONNIERES;1;;9999;;I;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;IMPASSE DE LARIBOISIERE;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;IMPASSE HENRI QUEFFELEC;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;IMPASSE JEAN ALLAIN;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;IMPASSE JEAN MICHEL CARADEC;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;IMPASSE POULLET;2;;9999;;P;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;LOTISSEMENT LES TILLEULS;1;;9999;;I;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;ROUTE DE LA CHAPELLE JANSON;1;;9999;;I;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE ABBE JOLY;1;;9999;;I;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE ALEXANDRE LEFAS;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE COLETTE BESSON;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE BAYEUX;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE FONTAINE LA CHEZE;2;;9999;;P;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE LA FOURCHETTE;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE LA PROVIDENCE;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE NANTES;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE PARIS;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE SAINT LO;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE SAVIGNY;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE SEVIGNE;2;;9999;;P;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DE VITRE;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DES BATAILLES;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DES DOCTEURS BERTIN;2;;9999;;P;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DES FEUTERIES;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DES JARDINS;1;;9999;;PI;0350967L;N
