Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro du collège;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre d'élèves total (nombre d'élèves dans les formations du 1er cycle du 2nd degré et non du nombre total d'élèves inscrits dans l'établissement, les DIMA et les dispositifs-relais sont exclus);Nombre d'élèves total hors Segpa hors ULIS;Nombre d'élèves total Segpa;Nombre d'élèves total ULIS;Nombre total de 6èmes;Nombre de 6èmes hors Segpa hors ULIS;Nombre de 6èmes Segpa;Nombre de 6èmes ULIS;Nombre de 6èmes filles;Nombre de 6èmes garçons;Nombre de 6èmes LV1 allemand;Nombre de 6èmes LV1 anglais;Nombre de 6èmes LV1 espagnol;Nombre de 6èmes LV1 autres langues;Nombre de 6èmes LV2 allemand;Nombre de 6èmes LV2 anglais;Nombre de 6èmes LV2 espagnol;Nombre de 6èmes LV2 italien;Nombre de 6èmes LV2 autres langues;Nombre total de 5èmes;Nombre de 5èmes hors Segpa hors ULIS;Nombre de 5èmes Segpa;Nombre de 5èmes ULIS;Nombre de 5èmes filles;Nombre de 5èmes garçons;Nombre de 5èmes LV1 allemand;Nombre de 5èmes LV1 anglais;Nombre de 5èmes LV1 espagnol;Nombre de 5èmes LV1 autres langues;Nombre de 5èmes LV2 allemand;Nombre de 5èmes LV2 anglais;Nombre de 5èmes LV2 espagnol;Nombre de 5èmes LV2 italien;Nombre de 5èmes LV2 autres langues;Nombre total de 4èmes;Nombre de 4èmes hors Segpa hors ULIS;Nombre de 4èmes Segpa;Nombre de 4èmes ULIS;Nombre de 4èmes filles;Nombre de 4èmes garçons;Nombre de 4èmes LV1 allemand;Nombre de 4èmes LV1 anglais;Nombre de 4èmes LV1 espagnol;Nombre de 4èmes LV1 autres langues;Nombre de 4èmes LV2 allemand;Nombre de 4èmes LV2 anglais;Nombre de 4èmes LV2 espagnol;Nombre de 4èmes LV2 italien;Nombre de 4èmes LV2 autres langues;Nombre total de 3èmes;Nombre de 3èmes hors Segpa hors ULIS;Nombre de 3èmes Segpa;Nombre de 3èmes ULIS;Nombre de 3èmes filles;Nombre de 3èmes garçons;Nombre de 3èmes LV1 allemand;Nombre de 3èmes LV1 anglais;Nombre de 3èmes LV1 espagnol;Nombre de 3èmes LV1 autres langues;Nombre de 3èmes LV2 allemand;Nombre de 3èmes LV2 anglais;Nombre de 3èmes LV2 espagnol;Nombre de 3èmes LV2 italien;Nombre de 3èmes LV2 autres langues
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;CESSON-SEVIGNE;0350793X;LYCEE POLYVALENT PRIVE;FREDERIC OZANAM;PRIVE;0;0;34;34;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;34;0;0;2;32;0;34;0;0;0;0;34;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;CESSON-SEVIGNE;0351906G;COLLEGE;BOURGCHEVREUIL;PUBLIC;0;0;665;654;0;11;155;153;0;2;77;78;0;152;0;0;19;0;0;0;36;178;176;0;2;80;98;0;176;0;0;23;0;100;15;38;147;142;0;5;74;73;0;142;0;14;29;0;76;23;14;185;183;0;2;87;98;0;181;0;3;37;0;128;12;3
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;CHATEAUGIRON;0352248D;COLLEGE;VICTOR SEGALEN;PUBLIC;0;0;561;561;0;0;143;143;0;0;73;70;0;143;0;0;0;0;69;0;0;145;145;0;0;69;76;0;145;0;0;14;0;131;0;0;136;136;0;0;63;73;0;136;0;0;8;0;128;0;0;137;137;0;0;76;61;0;137;0;0;16;0;121;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;DINARD;0351795L;COLLEGE;LE BOCAGE;PUBLIC;0;0;614;614;0;0;162;162;0;0;79;83;0;162;0;0;29;0;0;0;0;127;127;0;0;65;62;0;127;0;0;7;0;108;12;0;164;164;0;0;82;82;0;164;0;0;10;0;141;13;0;161;161;0;0;82;79;0;161;0;0;15;0;129;17;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;GUIGNEN;0350864Z;COLLEGE PRIVE;ST JOSEPH;PRIVE;0;0;325;325;0;0;102;102;0;0;57;45;0;102;0;0;0;0;0;0;0;84;84;0;0;41;43;0;84;0;0;6;0;78;0;0;80;80;0;0;34;46;0;80;0;0;17;0;63;0;0;59;59;0;0;23;36;0;59;0;0;6;0;53;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LIFFRE;0351790F;COLLEGE;MARTIN LUTHER KING;PUBLIC;0;0;746;746;0;0;166;166;0;0;79;87;13;153;0;0;1;0;0;0;0;172;172;0;0;84;88;0;172;0;0;29;0;132;11;0;223;223;0;0;104;119;0;223;0;0;37;0;173;13;0;185;185;0;0;95;90;0;185;0;0;21;0;164;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAEN ROCH;0350883V;COLLEGE PRIVE;JEANNE D'ARC;PRIVE;0;0;422;410;0;12;108;105;0;3;57;51;0;108;0;0;0;0;0;0;0;115;112;0;3;47;68;0;115;0;0;9;0;103;0;0;109;105;0;4;57;52;0;109;0;0;10;0;95;0;0;90;88;0;2;38;52;0;90;0;0;21;0;67;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MELESSE;0352183H;COLLEGE;MATHURIN MEHEUT;PUBLIC;0;0;407;407;0;0;97;97;0;0;48;49;0;97;0;0;0;0;0;0;0;112;112;0;0;52;60;0;112;0;0;13;0;85;14;0;100;100;0;0;55;45;0;100;0;0;15;0;53;32;0;98;98;0;0;45;53;0;98;0;0;2;0;80;16;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;NOYAL-SUR-VILAINE;0352167R;COLLEGE;JACQUES BREL;PUBLIC;0;0;548;548;0;0;170;170;0;0;85;85;0;170;0;0;0;0;0;0;0;107;107;0;0;55;52;0;107;0;0;16;0;76;15;0;128;128;0;0;54;74;0;128;0;0;26;0;91;11;0;143;143;0;0;70;73;0;143;0;0;23;0;104;16;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;PACE;0352319F;COLLEGE PRIVE;ST GABRIEL;PRIVE;0;0;1009;1009;0;0;258;258;0;0;133;125;0;258;0;0;24;0;57;0;17;255;255;0;0;115;140;0;255;0;0;27;0;202;0;26;249;249;0;0;121;128;0;249;0;28;26;0;195;0;28;247;247;0;0;131;116;0;247;0;19;28;0;200;0;19
