Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;tri;Code Postal
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;ACIGNE;0350103X;ECOLE ELEMENTAIRE PUBLIQUE;LE CHEVRE;PUBLIC;0;0;12;289;0;289;0;56;68;52;56;57;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-ACIGNE-0350103X;35690
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;ACIGNE;0351981N;ECOLE MATERNELLE PUBLIQUE;LE CHAT PERCHE;PUBLIC;0;0;7;176;176;0;0;0;0;0;0;0;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-ACIGNE-0351981N;35690
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;ACIGNE;0352358Y;ECOLE PRIMAIRE PRIVEE;STE JEANNE D'ARC;PRIVE;0;0;8;215;73;142;0;29;31;27;27;28;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-ACIGNE-0352358Y;35690
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;AMANLIS;0351728N;ECOLE PRIMAIRE PRIVEE;NOTRE DAME;PRIVE;0;0;7;179;71;108;0;20;24;14;29;21;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-AMANLIS-0351728N;35150
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;ANDOUILLE-NEUVILLE;0352676U;ECOLE PRIMAIRE PUBLIQUE;LES PRES VERTS;PUBLIC;0;0;6;127;46;81;0;21;16;19;11;14;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-ANDOUILLE-NEUVILLE-0352676U;35250
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;ARGENTRE-DU-PLESSIS;0351633K;ECOLE PRIMAIRE PUBLIQUE;JEAN-LOUIS ETIENNE;PUBLIC;0;0;12;232;78;141;13;25;29;34;20;33;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-ARGENTRE-DU-PLESSIS-0351633K;35370
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;ARGENTRE-DU-PLESSIS;0352129Z;ECOLE PRIMAIRE PRIVEE;LA SALLE ST JOSEPH;PRIVE;0;0;12;306;98;208;0;45;30;43;37;53;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-ARGENTRE-DU-PLESSIS-0352129Z;35370
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAGUER-MORVAN;0350114J;ECOLE PRIMAIRE PUBLIQUE;VINCENT VAN GOGH;PUBLIC;1;0;6;79;26;53;0;12;7;9;12;13;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAGUER-MORVAN-0350114J;35120
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAGUER-MORVAN;0351165B;ECOLE PRIMAIRE PRIVEE;ST THOMAS DE VILLENEUVE;PRIVE;0;0;3;79;22;57;0;0;0;17;20;20;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAGUER-MORVAN-0351165B;35120
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAGUER-PICAN;0351750M;ECOLE PRIMAIRE PUBLIQUE;LES TROIS PRUNUS;PUBLIC;1;0;7;120;43;77;0;15;23;11;11;17;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAGUER-PICAN-0351750M;35120
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAIN-DE-BRETAGNE;0351012K;ECOLE PRIMAIRE PUBLIQUE;HENRI GUERIN;PUBLIC;0;0;11;217;72;132;13;24;23;21;21;43;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAIN-DE-BRETAGNE-0351012K;35470
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAIN-DE-BRETAGNE;0352359Z;ECOLE PRIMAIRE PRIVEE;STE ANNE;PRIVE;0;0;16;384;139;245;0;59;36;53;49;48;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAIN-DE-BRETAGNE-0352359Z;35470
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAIN-DE-BRETAGNE;0352778E;ECOLE PRIMAIRE PUBLIQUE;LA GUEDELAIS;PUBLIC;0;0;9;208;85;123;0;33;17;19;28;26;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAIN-DE-BRETAGNE-0352778E;35470
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAINS-SUR-OUST;0351172J;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;PRIVE;0;0;6;143;52;91;0;16;20;16;24;15;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAINS-SUR-OUST-0351172J;35600
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAINS-SUR-OUST;0352681Z;ECOLE PRIMAIRE PUBLIQUE;LES COLIBRIS;PUBLIC;0;0;8;191;69;122;0;19;22;23;33;25;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAINS-SUR-OUST-0352681Z;35600
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAIS;0350121S;ECOLE PRIMAIRE PUBLIQUE;JACQUES PREVERT;PUBLIC;0;0;7;149;43;106;0;23;27;17;19;20;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAIS-0350121S;35680
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAIS;0352230J;ECOLE PRIMAIRE PRIVEE;NOTRE DAME;PRIVE;0;0;7;184;82;102;0;19;22;20;18;23;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAIS-0352230J;35680
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BALAZE;0351175M;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;PRIVE;0;0;9;221;72;149;0;32;31;25;32;29;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BALAZE-0351175M;35500
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAULON;0350122T;ECOLE PRIMAIRE PUBLIQUE;LES LUCIOLES;PUBLIC;0;0;6;151;53;98;0;18;20;21;18;21;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAULON-0350122T;35580
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAULON;0351176N;ECOLE PRIMAIRE PRIVEE;STE MARIE;PRIVE;0;0;4;100;34;66;0;14;7;15;13;17;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAULON-0351176N;35580
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAZOUGES-LA-PEROUSE;0351181U;ECOLE PRIMAIRE PRIVEE;STE ANNE;PRIVE;0;0;5;106;36;70;0;16;13;14;15;12;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAZOUGES-LA-PEROUSE-0351181U;35560
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAZOUGES-LA-PEROUSE;0352325M;ECOLE PRIMAIRE PUBLIQUE;VILLECARTIER;PUBLIC;1;0;6;90;33;57;0;7;13;12;8;17;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BAZOUGES-LA-PEROUSE-0352325M;35560
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BEAUCE;0350129A;ECOLE PRIMAIRE PUBLIQUE;RENE-GUY CADOU;PUBLIC;0;0;7;156;46;110;0;26;22;18;23;21;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BEAUCE-0350129A;35133
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BECHEREL;0351182V;ECOLE ELEMENTAIRE PRIVEE;NOTRE DAME;PRIVE;0;0;2;38;0;38;0;0;8;9;7;14;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BECHEREL-0351182V;35190
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BECHEREL;0351636N;ECOLE MATERNELLE PUBLIQUE;ECOLE PUBLIQUE;PUBLIC;0;0;3;67;67;0;0;0;0;0;0;0;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BECHEREL-0351636N;35190
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BEDEE;0351184X;ECOLE PRIMAIRE PRIVEE;ST MICHEL;PRIVE;0;0;8;199;75;124;0;20;25;27;25;27;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BEDEE-0351184X;35137
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BEDEE;0351805X;ECOLE ELEMENTAIRE PUBLIQUE;ECOLE PUBLIQUE;PUBLIC;0;0;11;242;0;242;0;46;52;46;50;48;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BEDEE-0351805X;35137
2022;BRETAGNE;RENNES;ILLE-ET-VILAINE;BEDEE;0352031T;ECOLE MATERNELLE PUBLIQUE;ECOLE PUBLIQUE;PUBLIC;0;0;6;136;136;0;0;0;0;0;0;0;78-BRETAGNE-RENNES-ILLE-ET-VILAINE-BEDEE-0352031T;35137
