Annee_scolaire;Academie;Numero_d_etablissement;nom_etablissement;Type_d_etablissement;Secteur_d_enseignement;Nombre_d_eleves;libelle_region;libelle_departement;Code_departement;adresse;code_postal;localite_acheminement;Code_region
2018-2019;RENNES;0350002M;COLLEGE PIERRE BROSSOLETTE;COLLEGE;Public;768;BRETAGNE;ILLE-ET-VILAINE;035;18 rue THEODORE BOTREL;35171;BRUZ CEDEX;53
2018-2019;RENNES;0350022J;LYCEE GENERAL ET TECHNOLOGIQUE BEAUMONT;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;862;BRETAGNE;ILLE-ET-VILAINE;035;10 rue du Lycée;35605;REDON CEDEX;53
2018-2019;RENNES;0350024L;LYCEE GENERAL EMILE ZOLA;LYCEE D ENSEIGNEMENT GENERAL;Public;1036;BRETAGNE;ILLE-ET-VILAINE;035;Avenue JANVIER;35044;RENNES CEDEX;53
2018-2019;RENNES;0350030T;LPO LYCEE DES METIERS PIERRE MENDES FRANCE;LYCEE POLYVALENT;Public;1068;BRETAGNE;ILLE-ET-VILAINE;035;34 rue BAHON RAULT;35069;RENNES CEDEX;53
2018-2019;RENNES;0350031U;LP LYCEE DES METIERS JEAN JAURES;LYCEE PROFESSIONNEL;Public;434;BRETAGNE;ILLE-ET-VILAINE;035;24  RUE VICTOR RAULT;35002;RENNES CEDEX;53
2018-2019;RENNES;0350032V;LP LYCEE DES METIERS LOUIS GUILLOUX;LYCEE PROFESSIONNEL;Public;658;BRETAGNE;ILLE-ET-VILAINE;035;76 avenue DES BUTTES DE COESMES;35703;RENNES CEDEX 7;53
2018-2019;RENNES;0350707D;COLLEGE FRANCOIS RENE DE CHATEAUBRIAND;COLLEGE;Public;588;BRETAGNE;ILLE-ET-VILAINE;035;12 avenue DES ACACIAS;35270;COMBOURG;53
2018-2019;RENNES;0350709F;LP LYCEE DES METIERS LA CHAMPAGNE;LYCEE PROFESSIONNEL;Public;404;BRETAGNE;ILLE-ET-VILAINE;035;2 rue DU SERGENT HARRIS;35506;VITRE CEDEX;53
2018-2019;RENNES;0350710G;LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND;LYCEE D ENSEIGNEMENT GENERAL;Public;2036;BRETAGNE;ILLE-ET-VILAINE;035;136 boulevard DE VITRE;35703;RENNES CEDEX 7;53
2018-2019;RENNES;0350732F;ETAB.REGIONAL ENSEIGNT ADAPTE JEAN BART;ETABLISSEMENT REGIONAL D'ENSEIGNT ADAPTE;Public;112;BRETAGNE;ILLE-ET-VILAINE;035;10  RUE SAINT-PIERRE;35603;REDON CEDEX;53
